tf_api,tf_doc,pytorch_api,pytorch_doc,similarity
tensorflow.python.summary.writer.event_file_writer_v2.flush,Flushes the event file to disk. Call this method to make sure that all pending events have been written to disk.,torch.utils.tensorboard.writer.flush,Flushes the event file to disk. Call this method to make sure that all pending events have been written to disk.,1.0000004
tensorflow.python.data.ops.dataset_ops.is_subtype_of,See base class.,torch.distributed.elastic.rendezvous.dynamic_rendezvous.state,See base class.,1.0000001
tensorflow.python.distribute.tpu_strategy.run,See base class.,torch.distributed.elastic.rendezvous.dynamic_rendezvous.shutdown,See base class.,1.0000001
tensorflow.python.data.ops.dataset_ops.most_specific_common_supertype,See base class.,torch.distributed.elastic.rendezvous.c10d_rendezvous_backend.name,See base class.,1.0000001
tensorflow.python.training.monitored_session.run,See base class.,torch.distributed.elastic.rendezvous.dynamic_rendezvous.is_closed,See base class.,1.0000001
tensorflow.python.summary.writer.writer.close,Flushes the event file to disk and close the file. Call this method when you do not need the summary writer anymore.,torch.utils.tensorboard.writer.close,Flushes the event file to disk and close the file. Call this method when you do not need the summary writer anymore.,1.0000001
tensorflow.python.summary.writer.writer.reopen,Reopens the EventFileWriter. Can be called after `close()` to add more events in the same directory. The events will go into a new events file. Does nothing if the EventFileWriter was not closed.,torch.utils.tensorboard.writer.reopen,Reopens the EventFileWriter. Can be called after `close()` to add more events in the same directory. The events will go into a new events file. Does nothing if the EventFileWriter was not closed.,0.9999998
tensorflow.python.lib.io.file_io.name,Returns the file name.,torch.profiler.profiler.get_output_file_path,Returns the output file name.,0.98644507
tensorflow.python.distribute.test_util.get_running_threads,Returns a set of all running thread names.,torch.onnx._internal.registration.all_functions,Returns the set of all registered function names.,0.9771573
tensorflow.python.summary.writer.event_file_writer.get_logdir,Returns the directory where event file will be written.,torch.utils.tensorboard.writer.get_logdir,Return the directory where event file will be written.,0.97695184
tensorflow.python.framework.function.grad_func_name,Returns the name of the gradient function.,torch.onnx._internal.registration.get_function_group,Returns the function group for the given name.,0.9743528
tensorflow.python.ops.logging_ops.merge_summary,"Merges summaries. This op is deprecated. Please switch to tf.compat.v1.summary.merge, which has identical behavior. This op creates a [`Summary`](https://www.tensorflow.org/code/tensorflow/core/framework/summary.proto) protocol buffer that contains the union of all the values in the input summaries. When the Op is run, it reports an `InvalidArgument` error if multiple values in the summaries to merge use the same tag. Args: inputs: A list of `string` `Tensor` objects containing serialized `Summary` protocol buffers. collections: Optional list of graph collections keys. The new summary op is added to these collections. Defaults to `[GraphKeys.SUMMARIES]`. name: A name for the operation (optional). Returns: A scalar `Tensor` of type `string`. The serialized `Summary` protocol buffer resulting from the merging.",torch.utils.tensorboard.summary.histogram,Output a `Summary` protocol buffer with a histogram. The generated [`Summary`](https://www.tensorflow.org/code/tensorflow/core/framework/summary.proto) has one summary value containing a histogram for `values`. This op reports an `InvalidArgument` error if any value is not finite. Args: name: A name for the generated node. Will also serve as a series name in TensorBoard. values: A real numeric `Tensor`. Any shape. Values to use to build the histogram. Returns: A scalar `Tensor` of type `string`. The serialized `Summary` protocol buffer.,0.9732198
tensorflow.python.keras.engine.base_layer_utils.make_variable,"Temporary util to create a variable (relies on `variable_scope.variable`). Some reuse-related technicalities prevent us from using `variable_scope.get_variable()` directly, so we use a subcomponent that has fewer constraints (`variable_scope.variable()`). In the longer term, it seems like a similar ""default variable creator"" method should exist in `Trackable` instead. When this happens, we can get rid of this temporary solution. TODO(fchollet): remove this method when no longer needed. Args: name: Variable name. shape: Variable shape. dtype: The type of the variable. Defaults to `self.dtype` or `float32`. initializer: Initializer instance (callable). trainable: Whether the variable should be part of the layer's ""trainable_variables"" (e.g. variables, biases) or ""non_trainable_variables"" (e.g. BatchNorm mean, stddev). Note, if the current variable scope is marked as non-trainable then this parameter is ignored and any added variables are also marked as non-trainable. `trainable` defaults to `True` unless `synchronization` is set to `ON_READ`. caching_device: Passed to `tf.Variable`. validate_shape: Passed to `tf.Variable`. constraint: Constraint instance (callable). use_resource: Whether to use a `ResourceVariable`. collections: List of graph collections keys. The new variable is added to these collections. Defaults to `[GraphKeys.GLOBAL_VARIABLES]`. synchronization: Indicates when a distributed a variable will be aggregated. Accepted values are constants defined in the class `tf.VariableSynchronization`. By default the synchronization is set to `AUTO` and the current `DistributionStrategy` chooses when to synchronize. If `synchronization` is set to `ON_READ`, `trainable` must not be set to `True`. aggregation: Indicates how a distributed variable will be aggregated. Accepted values are constants defined in the class `tf.VariableAggregation`. partitioner: Not handled at this time. Returns: Variable instance.",torch.distributed.checkpoint.state_dict_loader.load,"Load a distributed ``state_dict`` in SPMD style. Each rank will try to read the least amount of data necessary to fullfill the requested `state_dict`. When loading :class:`ShardedTensor` or :class:`DTensor` instances, each rank only reads data for their local shards. For each ``Stateful`` object (having both a ``state_dict`` and a ``load_state_dict``), load will first call ``state_dict`` before attempting deserialization, followed by ``load_state_dict`` once the deserialization is complete. .. warning:: All tensors in ``state_dict`` must be allocated on their destination device *prior to* calling this function. All non-tensor data is loaded using `torch.load()` and modified in place on state_dict. .. warning:: Users must call `load_state_dict` on the root module to ensure load pos-processing and non-tensor data properly propagates. .. note: If no process group is initialized, this function will assume the intent is to load a checkpoint into the local process. This can be useful in the case of local inference, and when using regular Tensors (as opposed to DTensor or ShardedTensor) .. note: Rank 0 is assumed to be the coordinator rank. Args: state_dict (Dict[str, Any]): The state_dict to save. checkpoint_id (Union[str, os.PathLike, None]): The ID of this checkpoint instance. The meaning of the checkpoint_id depends on the storage. It can be a path to a folder or to a file. It can also be a key if the storage is a key-value store. (Default: ``None``) storage_reader (Optional[StorageReader]): Instance of StorageWriter used to perform reads. If this is not specified, DCP will automatically infer the reader based on the checkpoint_id. If checkpoint_id is also None, an exception will be raised. (Default: ``None``) planner (Optional[LoadPlanner]): Instance of LoadPlanner. If this is not specificed, the default planner will be used. (Default: ``None``) process_group (Optional[ProcessGroup]): ProcessGroup to be used for cross-rank synchronization. (Default: ``None``) Returns:",0.97279835
